Name,Review,Star,Helpful,Problem
Stephen,"Barangnya mantep bgt sesuai deskripsi! Pengiriman super cepat 1 hr lgs sampai! Di berikan bonus jg pula, super baik ini seller gk salah uda bbrp kali belanja di toko ini.. di tunggu order selanjutnya ya!🙏",5,0,gada
Ahmad,Bagus dan dikasih bonus sama kakak nya paket internet,5,0,gada
Rohman,bagus. pas cocok.,5,0,gada
Olyy,"Bagus bgt ka, makasih.",5,0,gada
B***y,Mantab dapet bonus nomor wkwk,5,0,gada
N***a,gada,5,0,gada
Asri,baguss dpt bonus lg,5,0,gada
Nissa,Sukaa bgtt sama casing nya dapet pulsa. Jugaa💗,5,0,gada
Devi,Thank u bonus kuota perdana nya kaaa . Cpt bgt sampe kurir pun mantap walau hujan,5,0,gada
T***k,"Senang berbelanja disini, bonus smartfren nya Tidak bisa di jangkau di Daerah saya🥲",5,0,gada
Nur,"cepat pengiriman, barang bagus, harga promo, dikasih bonus kartu terima kasih banyak sukses trs ya",5,0,gada
I***y,Cukup ok dan bagus,5,0,gada
Revekka,"Sesuai Gambar Dan Deskripsi, Kualitas Jos Ditambah Pengiriman Yang Cepat + Packing Yang Rapih Hehe",5,0,gada
V***a,Packing rapih Pengiriman cepat Dikasih bonus pula 👌🏼,5,0,gada
miaaaaa,makasi angpaonya 😂😂😂,5,0,gada
n***o,Pesen 2 yg dateng 1 penggantinya dikasih kartu perdana smartfren wtf ????,3,0,gada
Olivia,Thanks bangetttt atas bonusnya yak...liked it,5,0,gada
Sanat,Barangnya bagus dan sesuai ekspektasi,5,0,gada
S***a,"Puas banget. Awalnya khawatir ga presisi sama Camera dan light nya, ternyata pas. Bahannya juga ga terlalu tebal dan keras, jd nyaman dipake nya. Admin ramah banget.. cus order next barang disini..",5,0,gada
Ikin,"Paking rapi pengirimin cepat,lhasiat lumayan",5,0,gada
Manasye,KUALITAS SANGAT BANGUS CUMA SAYANG PAS SAMPE HP SAYA SUDAH DIMALING ORANG JADI GAK BISA DI PAKE MAU CANCEL TPI KURIR SANGAT GESIT KIRIM PAKETNYA.,5,0,gada
Bambang,"barang nya bagus dan dapet bonus kartu Smartfren mksh bnyak TPI slh krim csing nya. tpi GX apa"" buat tmn jh mksh",5,0,gada
Joni,Barang bguss,5,0,gada
Frydha,Bintang 6,5,0,gada
D***i,Mantul bagus kokoh packing aman,5,0,gada
Adib,Mantapp di kasih bonus 💕👌🏻,5,0,gada
Dahlia,Bgs deh. Syuka,5,0,gada
Asmara,Bagus.,4,0,gada
Nur,Ternyata salah pilih tipe hp wkwkw pdhl hpku 6s eh jd 6pls tp gpp,4,0,gada
H***a,Manful!,5,0,gada
D***n,Bagus banget sesuai dengan gambarnya👍🏼👍🏼 Dan dikasih bonus kartu sim smartfren👌🏼,5,0,gada
a***z,Mantap gratis perdana wkwk,5,0,gada
R***a,Bagus seusai,5,0,gada
Asyiqah,Pengiriman super cepaaat,5,0,gada
Shierly,cocok,5,0,gada
R***o,"Keren, sesuai foto & deskripsi, untuk lobang buat kamera, speaker, dll, juga pas banget",5,0,gada
A***A,bgs<3,5,0,gada
S***y,bagus!!,5,0,gada
m***l,Mantap bening jadi seperti baru lagi,5,0,gada
M***i,"👍👍👍👍 Mantanpp Jaya, Langsung dipakaii",5,0,gada
A***i,Mangtap,5,0,gada
B***s,pas cocok....,5,0,gada
I***l,"barang ok, harga murah tp kualitasnya ga kalah sama yg ratusan ribu. defines will repurchase if barangnya nanti udah jelek krn pemakaian. sukses selalu utk sellernya. GBU",5,0,gada
D***h,"ok, barang sesuai pesanan, lgsg dipakai, tp kartu transport tidak bisa lgsg ditap di mesin (harus dilepas dr casing) krn tidak terbaca. nmapknya plastiknya cukup tebal",5,0,gada
Wahyu,Bahannya bagus dan presisi. Respon seller dan pengiriman juga cepat. Reccomended banget. Thank you for the good service caseayangan. 👏🏻👏🏻👏🏻,5,0,gada
R***a,bagus murah dan bisa digunakan juga ok lah ya,5,0,gada
Derry,biasa aja,3,0,gada
Agung,Pengiriman lama,1,0,gada
R***y,Murah. Enak dipegang,5,0,gada
HERRY,Oke bgt,5,0,gada
R***T,"Bagus pas dan keren banget warna nya, seller nya juga ramah, recommend buat toko ini. Makasihhhhhhhhh",5,0,gada
Alan,pas dan bagus.,5,0,gada
Harry,Kualitas produk sangat baik. Harga produk sangat baik. Kecepatan pengiriman sangat baik. Packing baik.,5,0,gada
Bunga,"Terimakasih, barang sesuai deskripsi. Semoga semakin sukses",5,0,gada
I***l,Mantabs harga murah tp kualitas gak murahan…recommended,5,0,gada
maya,"barang sesuai,pengiriman cepat",5,0,gada
Egi,"walaupun produk yg dipesan tidak tersedia, admin nawarin alternatif dan barangnya oke. semoga diamond nya nambah terus, tks",5,0,gada
G***a,Recommend bgt sii,5,0,gada
l***i,yess,5,0,gada
Ade,"Mantab, kualitasnya bagus. Semoga ga cepat kuning",5,0,gada
Ivan,"Barang sesuai deskripsi, harga terjangkau, semoga ga gampang kuning dan awet",5,0,gada
Praz,…Trims barang sudah diterima,5,0,gada
F***z,Barang biasa aja sesuai dengan harga okelah,3,0,gada
Seka,"Respon toko lambat, barang saya 3 hari di pendap baru dikirim, tau nya barang kosong, kalau tau kosong jgn bilang ready bos",2,0,gada
A***g,Casenya cuteee🥰,5,0,gada
H***y,Casenya mantap,5,0,gada
N***a,pengiriman sangat cepat sangat cepat murah juga harganya,5,0,gada
Ferri,Harga sesuai kualitas 👍,4,0,gada
